id,education,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,age,marital_status,tenure,total_spent,children,living_with,family_size,is_parent,cluster
8755,Master,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,Married,12,1196,0,partner,2,0,3
10738,Master,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,Single,12,65,2,alone,3,1,1
4339,PhD,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,Married,12,913,1,partner,3,1,2
10755,Master,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,Married,12,81,1,partner,3,1,0
8595,Graduation,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,Widow,11,67,1,alone,2,1,1
2968,PhD,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,Divorced,12,902,0,alone,1,0,3
8601,Graduation,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,Married,12,1395,1,partner,3,1,2
503,Master,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,Married,12,53,1,partner,3,1,0
8430,Graduation,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,Together,13,22,1,partner,3,1,0
7281,PhD,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,66,Single,12,186,0,alone,1,0,3
2139,Master,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,Married,12,31,1,partner,3,1,0
1371,Graduation,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,Single,11,984,0,alone,1,0,3
9909,Master,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,Married,13,122,0,partner,2,0,0
7286,Graduation,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,Together,12,55,1,partner,3,1,1
7244,Graduation,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,74,Single,11,124,3,alone,4,1,1
6566,PhD,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,Married,13,1319,2,partner,4,1,2
8614,Graduation,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,Widow,11,507,1,alone,2,1,1
4114,Master,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,Married,13,1693,0,partner,2,0,3
1331,Graduation,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,Single,12,72,1,alone,2,1,0
2225,Graduation,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,Divorced,11,1617,0,alone,1,0,3
9381,Graduation,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,Married,12,606,2,partner,4,1,2
6260,Master,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,Together,13,1957,0,partner,2,0,3
10383,Graduation,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,Divorced,12,1093,0,alone,1,0,3
7437,Graduation,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,Single,11,29,1,alone,2,1,0
8557,Graduation,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,43,Single,12,46,1,alone,2,1,0
8375,PhD,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,Married,11,518,1,partner,3,1,1
6853,Master,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,Single,12,1438,0,alone,1,0,3
3076,Graduation,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,Together,13,612,2,partner,4,1,2
1012,Graduation,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,Single,12,884,1,alone,2,1,2
6518,PhD,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,Widow,12,606,1,alone,2,1,2
4137,Graduation,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,Together,12,1076,0,partner,2,0,3
8082,Graduation,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,Married,12,34,1,partner,3,1,0
1386,Graduation,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,Together,11,11,2,partner,4,1,1
9369,Master,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,Single,11,1274,1,alone,2,1,2
4477,Graduation,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,Together,12,653,1,partner,3,1,2
1357,Graduation,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,Together,12,1562,3,partner,5,1,2
1402,Master,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,Married,13,1253,0,partner,2,0,3
10629,Master,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,52,Married,13,109,1,partner,3,1,0
6312,Graduation,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,Married,12,863,1,partner,3,1,2
8132,PhD,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,Married,12,661,2,partner,4,1,1
1050,Graduation,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,Married,11,65,0,partner,2,0,1
5846,Graduation,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,Divorced,13,13,1,alone,2,1,0
1859,Master,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,Married,13,1890,0,partner,2,0,3
7503,Graduation,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,Single,13,2209,0,alone,1,0,3
10401,Master,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,Together,12,18,0,partner,2,0,0
1618,Graduation,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,Together,12,692,0,partner,2,0,3
3332,Graduation,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,Single,13,165,1,alone,2,1,0
2261,Graduation,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,Married,12,16,1,partner,3,1,0
5346,Master,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,Married,12,79,1,partner,3,1,0
4119,Master,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,Together,12,318,0,partner,2,0,0
535,Graduation,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,Divorced,11,778,0,alone,1,0,3
5268,Graduation,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,Married,12,56,2,partner,4,1,1
273,Master,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,Married,12,151,2,partner,4,1,1
4452,Graduation,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,Single,11,372,1,alone,2,1,1
8504,Graduation,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,Married,11,1366,0,partner,2,0,3
771,Graduation,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,Together,11,194,1,partner,3,1,1
8996,PhD,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,68,Married,13,603,3,partner,5,1,2
9235,Graduation,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,68,Single,11,18,2,alone,3,1,1
5798,Master,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,52,Together,12,985,0,partner,2,0,3
11178,Master,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,Single,11,32,1,alone,2,1,1
2230,PhD,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,Married,11,43,1,partner,3,1,1
7516,Graduation,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,Married,11,45,1,partner,3,1,1
7247,Graduation,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,Widow,13,606,1,alone,2,1,2
11100,Graduation,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,Divorced,12,63,2,alone,3,1,1
4646,Master,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,Married,12,978,0,partner,2,0,3
3037,PhD,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,Married,12,410,0,partner,2,0,0
1473,Master,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,Single,12,72,1,alone,2,1,1
1016,PhD,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,Single,11,55,1,alone,2,1,1
4518,Graduation,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,Together,12,1169,1,partner,3,1,2
9370,PhD,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,Married,12,1120,0,partner,2,0,3
8908,Graduation,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66,Married,11,1097,0,partner,2,0,3
8373,Basic,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46,Together,12,29,1,partner,3,1,0
7533,Graduation,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61,Married,12,187,2,partner,4,1,1
2683,Graduation,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,56,Married,12,910,2,partner,4,1,2
3629,Graduation,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,47,Single,13,145,1,alone,2,1,0
10991,Master,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,65,Married,13,850,0,partner,2,0,3
5077,Graduation,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,46,Together,12,969,1,partner,3,1,2
7431,PhD,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,34,Single,13,1820,0,alone,1,0,3
3267,Master,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,62,Together,11,608,1,partner,3,1,1
999,Graduation,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,34,Single,12,730,0,alone,1,0,3
9215,PhD,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,45,Married,13,551,1,partner,3,1,0
2286,Graduation,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,63,Single,12,114,2,alone,3,1,1
1592,Graduation,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,55,Married,11,1724,0,partner,2,0,3
367,Master,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,47,Married,12,577,1,partner,3,1,0
5234,Master,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,58,Together,12,81,2,partner,4,1,1
9862,Graduation,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56,Together,12,33,1,partner,3,1,0
9805,Master,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,72,Together,12,660,1,partner,3,1,2
6205,Master,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,58,Single,11,80,1,alone,2,1,1
8442,Master,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,40,Married,12,30,2,partner,4,1,0
7386,Graduation,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,49,Divorced,12,43,1,alone,2,1,0
7215,Graduation,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,42,Single,12,1135,0,alone,1,0,3
1491,Master,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,60,Together,12,559,0,partner,2,0,3
11071,Graduation,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,41,Single,12,1923,0,alone,1,0,3
3381,Master,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,72,Married,11,90,2,partner,4,1,1
8268,PhD,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,64,Married,12,404,1,partner,3,1,1
11051,PhD,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,69,Together,11,661,2,partner,4,1,1
8026,Graduation,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,73,Married,12,463,1,partner,3,1,2
433,Master,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,67,Other,12,632,2,alone,3,1,2
9597,Graduation,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,56,Married,11,725,0,partner,2,0,3
1295,Graduation,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,62,Married,12,725,1,partner,3,1,2
5290,PhD,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,61,Married,12,279,2,partner,4,1,1
1685,PhD,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,58,Together,12,1482,0,partner,2,0,3
5342,Basic,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,49,Divorced,13,29,1,alone,2,1,0
9579,PhD,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,66,Married,12,106,3,partner,5,1,1
7660,PhD,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,52,Other,11,49,2,alone,3,1,1
1461,PhD,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,60,Divorced,12,38,2,alone,3,1,1
821,Master,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,33,Single,13,2077,0,alone,1,0,3
11084,Master,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,49,Together,12,1053,1,partner,3,1,2
8690,Graduation,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,63,Married,12,1385,0,partner,2,0,3
2937,PhD,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,51,Single,12,871,1,alone,2,1,2
9701,Graduation,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,37,Together,12,312,1,partner,3,1,0
9949,Graduation,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,49,Married,13,877,2,partner,4,1,2
10837,Graduation,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,50,Married,13,68,1,partner,3,1,0
3120,Graduation,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,44,Together,12,22,1,partner,3,1,0
5885,Master,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,52,Married,13,211,3,partner,5,1,1
4050,Master,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,59,Married,11,127,0,partner,2,0,1
3830,Master,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,72,Married,11,459,2,partner,4,1,1
7987,Graduation,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,56,Married,11,460,1,partner,3,1,1
7798,Master,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,53,Together,13,429,1,partner,3,1,2
92,Graduation,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,37,Other,11,89,1,alone,2,1,0
7055,PhD,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,73,Together,13,1021,1,partner,3,1,2
10240,Graduation,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,76,Together,12,1381,0,partner,2,0,3
3025,Graduation,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,67,Single,12,306,1,alone,2,1,2
9283,Graduation,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,47,Single,12,18,3,alone,4,1,1
9970,Graduation,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,48,Together,12,162,1,partner,3,1,1
2730,Graduation,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,70,Single,12,1231,0,alone,1,0,3
2795,Master,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,67,Single,12,13,3,alone,4,1,1
9260,PhD,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,80,Married,13,1706,0,partner,2,0,3
8182,Graduation,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,41,Married,11,121,1,partner,3,1,1
10095,PhD,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,50,Divorced,12,1293,0,alone,1,0,3
8475,PhD,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,52,Married,11,1608,1,partner,3,1,3
4370,Graduation,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,59,Together,12,88,3,partner,5,1,1
10573,Graduation,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,72,Divorced,12,421,0,alone,1,0,3
3712,Graduation,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,66,Divorced,12,259,0,alone,1,0,3
6637,Graduation,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,37,Single,12,1117,0,alone,1,0,3
3152,Graduation,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,68,Together,11,89,2,partner,4,1,1
5610,Graduation,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,60,Together,11,36,2,partner,4,1,1
6460,Graduation,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,43,Married,12,57,1,partner,3,1,0
